Significant Go Accession: GO:0030517  Value: 0.009039
Significant Go Accession: GO:0008156  Value: 0.000000
Significant Go Accession: GO:0004797  Value: 0.000005
Significant Go Accession: GO:0016742  Value: 0.000000
Significant Go Accession: GO:0005758  Value: 0.000000
Significant Go Accession: GO:0030060  Value: 0.000039
Significant Go Accession: GO:0006027  Value: 0.000000
Significant Go Accession: GO:0015440  Value: 0.000000
Significant Go Accession: GO:0019894  Value: 0.000000
Significant Go Accession: GO:0008510  Value: 0.000005
Significant Go Accession: GO:0008187  Value: 0.000365
Significant Go Accession: GO:0045502  Value: 0.000000
Significant Go Accession: GO:0004465  Value: 0.000000
Significant Go Accession: GO:0005678  Value: 0.000000
Significant Go Accession: GO:0006282  Value: 0.000000
Significant Go Accession: GO:0003891  Value: 0.000000
Significant Go Accession: GO:0006256  Value: 0.000091
Significant Go Accession: GO:0015294  Value: 0.000000
Significant Go Accession: GO:0005662  Value: 0.000000
Significant Go Accession: GO:0042346  Value: 0.000000
Significant Go Accession: GO:0046048  Value: 0.000091
Significant Go Accession: GO:0008449  Value: 0.001457
Significant Go Accession: GO:0016471  Value: 0.000001
Significant Go Accession: GO:0007250  Value: 0.000000
Significant Go Accession: GO:0004705  Value: 0.000026
Significant Go Accession: GO:0008074  Value: 0.000000
Significant Go Accession: GO:0009068  Value: 0.000000
Significant Go Accession: GO:0006702  Value: 0.000005
Significant Go Accession: GO:0045884  Value: 0.000000
Significant Go Accession: GO:0004765  Value: 0.005804
Significant Go Accession: GO:0046977  Value: 0.000000
Significant Go Accession: GO:0018196  Value: 0.004449
Significant Go Accession: GO:0004715  Value: 0.000000
Significant Go Accession: GO:0007260  Value: 0.000000
Significant Go Accession: GO:0007210  Value: 0.000029
Significant Go Accession: GO:0006111  Value: 0.000009
Significant Go Accession: GO:0000115  Value: 0.000091
Significant Go Accession: GO:0004050  Value: 0.000001
Significant Go Accession: GO:0004307  Value: 0.000820
Significant Go Accession: GO:0016909  Value: 0.000000
Significant Go Accession: GO:0030156  Value: 0.000000
Significant Go Accession: GO:0004422  Value: 0.005804
Significant Go Accession: GO:0005220  Value: 0.000000
Significant Go Accession: GO:0050998  Value: 0.000820
Significant Go Accession: GO:0048284  Value: 0.000016
Significant Go Accession: GO:0008209  Value: 0.000000
Significant Go Accession: GO:0006661  Value: 0.000000
Significant Go Accession: GO:0004183  Value: 0.001457
Significant Go Accession: GO:0016248  Value: 0.000016
Significant Go Accession: GO:0045155  Value: 0.000000
Significant Go Accession: GO:0005838  Value: 0.000000
Significant Go Accession: GO:0017169  Value: 0.000000
Significant Go Accession: GO:0019834  Value: 0.000001
Significant Go Accession: GO:0030659  Value: 0.000000
Significant Go Accession: GO:0007262  Value: 0.000000
Significant Go Accession: GO:0004439  Value: 0.000000
Significant Go Accession: GO:0031325  Value: 0.000039
Significant Go Accession: GO:0005095  Value: 0.000000
Significant Go Accession: GO:0045766  Value: 0.000096
Significant Go Accession: GO:0006538  Value: 0.000000
Significant Go Accession: GO:0015813  Value: 0.000000
Significant Go Accession: GO:0006903  Value: 0.000000
Significant Go Accession: GO:0006531  Value: 0.000000
Significant Go Accession: GO:0005852  Value: 0.000000
Significant Go Accession: GO:0005099  Value: 0.000000
Significant Go Accession: GO:0000731  Value: 0.000091
Significant Go Accession: GO:0007320  Value: 0.000689
Significant Go Accession: GO:0005522  Value: 0.000000
Significant Go Accession: GO:0005219  Value: 0.000001
Significant Go Accession: GO:0004815  Value: 0.000000
Significant Go Accession: GO:0015379  Value: 0.000026
Significant Go Accession: GO:0003865  Value: 0.000016
Significant Go Accession: GO:0051452  Value: 0.000000
Significant Go Accession: GO:0008379  Value: 0.007334
Significant Go Accession: GO:0004372  Value: 0.000000
Significant Go Accession: GO:0008536  Value: 0.000000
Significant Go Accession: GO:0005883  Value: 0.000000
Significant Go Accession: GO:0006614  Value: 0.000000
Significant Go Accession: GO:0017110  Value: 0.000082
Significant Go Accession: GO:0003785  Value: 0.000009
Significant Go Accession: GO:0045130  Value: 0.000820
Significant Go Accession: GO:0006430  Value: 0.000002
Significant Go Accession: GO:0017068  Value: 0.001645
Significant Go Accession: GO:0007387  Value: 0.000000
Significant Go Accession: GO:0043275  Value: 0.000000
Significant Go Accession: GO:0004370  Value: 0.000000
Significant Go Accession: GO:0051341  Value: 0.000365
Significant Go Accession: GO:0019079  Value: 0.000000
Significant Go Accession: GO:0004718  Value: 0.000000
Significant Go Accession: GO:0007034  Value: 0.000000
Significant Go Accession: GO:0009341  Value: 0.000007
Significant Go Accession: GO:0030867  Value: 0.000001
Significant Go Accession: GO:0051066  Value: 0.000091
Significant Go Accession: GO:0006449  Value: 0.000000
Significant Go Accession: GO:0030160  Value: 0.000820
Significant Go Accession: GO:0004176  Value: 0.000000
Significant Go Accession: GO:0045663  Value: 0.002275
Significant Go Accession: GO:0004663  Value: 0.000000
Significant Go Accession: GO:0042824  Value: 0.000000
Significant Go Accession: GO:0045569  Value: 0.000820
Significant Go Accession: GO:0007035  Value: 0.000001
Significant Go Accession: GO:0004656  Value: 0.000000
Significant Go Accession: GO:0004347  Value: 0.002275
Significant Go Accession: GO:0015266  Value: 0.000000
Significant Go Accession: GO:0035270  Value: 0.005804
Significant Go Accession: GO:0009124  Value: 0.000000
Significant Go Accession: GO:0008322  Value: 0.000365
Significant Go Accession: GO:0016080  Value: 0.000001
Significant Go Accession: GO:0005742  Value: 0.005804
Significant Go Accession: GO:0042393  Value: 0.000000
Significant Go Accession: GO:0008410  Value: 0.004449
Significant Go Accession: GO:0003696  Value: 0.000000
Significant Go Accession: GO:0008053  Value: 0.000016
Significant Go Accession: GO:0006356  Value: 0.000000
Significant Go Accession: GO:0030225  Value: 0.000113
Significant Go Accession: GO:0030325  Value: 0.000820
Significant Go Accession: GO:0000266  Value: 0.000091
Significant Go Accession: GO:0050999  Value: 0.000365
Significant Go Accession: GO:0015701  Value: 0.005804
Significant Go Accession: GO:0019058  Value: 0.000000
Significant Go Accession: GO:0042162  Value: 0.000000
Significant Go Accession: GO:0009593  Value: 0.000000
